problem,algo,feasibility_rate,best_feasible,mean_feasible,std_feasible,success_rate,best_penalised_old,rank
PVD,QBHO,0.23333333333333334,5907.102260150156,7808.387156466296,3512.9546295518053,0.0,5907.102260150156,5.0
PVD,DBO,0.0,,,,0.0,5941.414943811011,9.0
PVD,POA,0.03333333333333333,6118.893125813763,6118.893125813763,,0.0,5948.9406184643185,1.0
PVD,EVO,0.0,,,,0.0,5870.123976642599,9.0
PVD,GJO,1.0,8693.346708559913,18033.133550908904,6124.12010368484,0.0,8693.346708559913,8.0
TCSD,QSO,1.0,0.013248572456097275,0.01467026589323271,0.0013976918675584337,0.0,0.013248572478054214,13.0
TCSD,PSO,1.0,0.012665353821902852,0.013623802511414117,0.00123998053420572,0.36666666666666664,0.012665354000111116,8.0
TCSD,GA,0.9333333333333333,0.013614414661227658,0.039562444253700584,0.07225213689342752,0.0,0.013614414661227658,16.0
TCSD,DE,1.0,0.012665232432724868,0.012666378812620319,2.5009372643437456e-06,1.0,0.012665232610815395,1.0
TCSD,GWO,0.9666666666666667,0.012695721468587934,0.012977717896151859,0.0004355428317776757,0.5333333333333333,0.012695721468587934,3.0
TCSD,WOA,1.0,0.012665487040608497,0.013601975146709803,0.001433619129668392,0.5666666666666667,0.012665487040608497,7.0
TCSD,SCA,1.0,0.012837412962577049,0.013088327913027883,0.0001377742230135081,0.0,0.012837412962577049,6.0
TCSD,HHO,1.0,0.012666263469623252,0.014063270691518649,0.0013414174932825102,0.13333333333333333,0.012666263620000059,11.0
TCSD,MPA,1.0,0.012894679279314975,0.01377025660635803,0.0008724569077374513,0.0,0.012894679279314975,9.0
TCSD,BFO,1.0,0.012677521279301423,0.012723708397005564,3.0390445450078115e-05,0.9666666666666667,0.012677521279301423,2.0
TCSD,QBSO,1.0,0.012671038966652072,0.01477361847975896,0.001756948956246669,0.13333333333333333,0.012671040010751077,14.0
TCSD,QBHO,1.0,0.012685740964230854,0.01383684689612184,0.0015702881181198468,0.36666666666666664,0.012685740964230854,10.0
TCSD,DBO,1.0,0.012682848550108736,0.013082981830140457,0.0005946927138199566,0.4,0.012682848550108736,5.0
TCSD,POA,1.0,0.012699455179110312,0.013074618755823561,0.00022486385279696535,0.06666666666666667,0.012699455179110312,4.0
TCSD,EVO,1.0,0.012665250345678284,0.015495619367004368,0.004575999650293713,0.2,0.01266525052319475,15.0
TCSD,GJO,1.0,0.012747848761654256,0.01423524240002431,0.0010100700780939188,0.03333333333333333,0.012747848761654256,12.0
SRD,QSO,0.1,2996.795234099238,3004.2980224594535,6.866134496151519,0.1,2990.3996702630056,2.0
SRD,PSO,0.0,,,,0.0,2984.466551044267,6.0
SRD,GA,0.0,,,,0.0,2984.4920205290605,6.0
SRD,DE,0.0,,,,0.0,2984.466551044267,6.0
SRD,GWO,0.1,2990.5382496397574,2996.947149728465,8.623058024808016,0.1,2985.955329456541,1.0
SRD,WOA,0.0,,,,0.0,2984.466576659701,6.0
SRD,SCA,0.7333333333333333,3034.7714183584303,3098.8799872318486,31.70518656533754,0.0,3029.185619796607,4.0
SRD,HHO,0.0,,,,0.0,2984.4671238773685,6.0
SRD,MPA,0.8333333333333334,3057.3623270422604,3101.7633636450187,33.05418639617786,0.0,3018.9479297776174,5.0
SRD,BFO,0.0,,,,0.0,2984.4668974802353,6.0
SRD,QBSO,0.0,,,,0.0,2986.298709130109,6.0
SRD,QBHO,0.03333333333333333,3026.763995372971,3026.763995372971,,0.0,2984.8135279319863,3.0
SRD,DBO,0.0,,,,0.0,2984.5995263265627,6.0
SRD,POA,0.0,,,,0.0,2985.3240685716873,6.0
SRD,EVO,0.0,,,,0.0,2984.4665510442674,6.0
SRD,GJO,0.0,,,,0.0,3329.1877813504507,6.0
