problem,algo,reported,raw_objective,penalty,max_violation,n_violated,feasible,beats_optimum
SRD,PSO,2984.466551044267,2983.665910213984,0.800640830283319,0.0006864465406368758,3,False,True
SRD,GA,2984.4920205290605,2983.3961796261196,1.095840902940612,0.0007922689193402555,3,False,True
SRD,DE,2984.466551044267,2983.6659100253223,0.8006410189448114,0.0006864465443916501,3,False,True
SRD,GWO,2985.955329456541,2984.7172859019784,1.2380435545630486,0.001075218851532389,2,False,True
SRD,WOA,2984.466576659701,2983.6649265448814,0.8016501148194434,0.0006889548061939088,3,False,True
SRD,SCA,3029.185619796607,3014.6746473639996,14.510972432607435,0.0038093270314594196,1,False,False
SRD,HHO,2984.4671238773685,2983.6957816976515,0.7713421797171728,0.0006669233711800171,3,False,True
SRD,MPA,3018.9479297776174,3017.760968527098,1.186961250519193,0.0010894775126266687,1,False,False
SRD,BFO,2984.4668974802353,2983.633334172382,0.8335633078531234,0.0007000969600090556,3,False,True
SRD,QBSO,2986.298709130109,2985.6406029307536,0.6581061993551008,0.0006065809528912336,3,False,True
SRD,QBHO,2984.8135279319863,2984.0415335719836,0.7719943600029578,0.0006474954545838685,3,False,True
SRD,DBO,2984.5995263265627,2983.8467623906945,0.7527639358683769,0.0006789721049464958,3,False,True
SRD,POA,2985.3240685716873,2984.557742766088,0.766325805599421,0.0008139885133864322,2,False,True
SRD,EVO,2984.4665510442674,2983.665909622555,0.8006414217126173,0.000686446997127721,3,False,True
