algorithm,fid,dim,max_iter,fes,seed,fbest,secs
WOA,1,30,500,15030,60,563015962.7181257,0.9572575092315674
WOA,1,30,500,15030,61,569311143.3704642,0.8724732398986816
WOA,1,30,500,15030,62,192651480.38977385,0.8345224857330322
WOA,1,30,500,15030,63,1134411255.0692568,0.8258123397827148
WOA,1,30,500,15030,64,536168336.21844256,0.7910993099212646
WOA,1,30,500,15030,65,518099900.4149972,0.7487804889678955
WOA,1,30,500,15030,66,156064959.99934614,0.7524731159210205
WOA,1,30,500,15030,67,195214003.676473,0.7946374416351318
WOA,1,30,500,15030,68,100215868.61485146,0.7470624446868896
WOA,1,30,500,15030,69,1698743384.8589442,0.7434301376342773
WOA,1,30,500,15030,70,138477729.86879775,0.7436199188232422
WOA,1,30,500,15030,71,119857312.81538744,0.7410976886749268
SCA,1,30,500,15030,42,27958109741.269577,0.5958573818206787
SCA,1,30,500,15030,43,38407145379.24168,0.5967962741851807
SCA,1,30,500,15030,44,28128976450.811676,0.5833964347839355
SCA,1,30,500,15030,45,32297605925.19819,0.559476375579834
SCA,1,30,500,15030,46,32080726208.228016,0.562030553817749
SCA,1,30,500,15030,47,25518453158.528027,0.5502018928527832
SCA,1,30,500,15030,48,31224567105.432205,0.5488319396972656
SCA,1,30,500,15030,49,28593523314.57338,0.5546057224273682
SCA,1,30,500,15030,50,30396219353.466373,0.5120406150817871
SCA,1,30,500,15030,51,27021927253.33042,0.49239468574523926
SCA,1,30,500,15030,52,34268239116.07328,0.5010950565338135
SCA,1,30,500,15030,53,30168613916.559406,0.3799891471862793
SCA,1,30,500,15030,54,32868768541.826298,0.5509665012359619
SCA,1,30,500,15030,55,31941355507.564175,0.487293004989624
SCA,1,30,500,15030,56,36362522188.704414,0.5555305480957031
SCA,1,30,500,15030,57,28141020112.676346,0.5475895404815674
SCA,1,30,500,15030,58,29443537007.4156,0.5450537204742432
SCA,1,30,500,15030,59,25136342532.070663,0.5518460273742676
SCA,1,30,500,15030,60,27382249940.048412,0.5898301601409912
SCA,1,30,500,15030,61,32998426922.745117,0.5873997211456299
SCA,1,30,500,15030,62,27683068392.81974,0.5526890754699707
SCA,1,30,500,15030,63,27545790119.780853,0.5567343235015869
SCA,1,30,500,15030,64,35228771670.205986,0.5533390045166016
SCA,1,30,500,15030,65,30679158797.112934,0.5617797374725342
SCA,1,30,500,15030,66,30242694143.802174,0.5591726303100586
SCA,1,30,500,15030,67,31988160029.217247,0.5730140209197998
SCA,1,30,500,15030,68,31325807282.02236,0.555654764175415
SCA,1,30,500,15030,69,26455286151.171574,0.566002607345581
SCA,1,30,500,15030,70,38361369200.93955,0.5806896686553955
SCA,1,30,500,15030,71,23393772085.642887,0.5903232097625732
HHO,1,30,500,15030,42,79582539.54467772,1.0642621517181396
HHO,1,30,500,15030,43,52844005.27066555,1.091494083404541
HHO,1,30,500,15030,44,41590515.51597253,1.0563204288482666
HHO,1,30,500,15030,45,31891550.30218847,1.0820693969726562
HHO,1,30,500,15030,46,39685015.89001737,1.0909831523895264
HHO,1,30,500,15030,47,39737334.04921119,1.0516746044158936
HHO,1,30,500,15030,48,25527315.976092115,1.0735182762145996
HHO,1,30,500,15030,49,42893158.44978903,1.0631911754608154
HHO,1,30,500,15030,50,30110747.938484542,1.0559539794921875
HHO,1,30,500,15030,51,30321405.055694725,1.0523536205291748
HHO,1,30,500,15030,52,38528202.865601614,1.050844669342041
HHO,1,30,500,15030,53,47123063.907944486,1.0639123916625977
HHO,1,30,500,15030,54,60015208.892813705,1.0670363903045654
HHO,1,30,500,15030,55,57823449.105908684,1.0494322776794434
HHO,1,30,500,15030,56,42913025.66648077,1.0672860145568848
HHO,1,30,500,15030,57,60559589.52312773,1.0622215270996094
HHO,1,30,500,15030,58,49425891.34267434,1.0560393333435059
HHO,1,30,500,15030,59,48405890.248861656,1.078751564025879
HHO,1,30,500,15030,60,44922299.77720842,1.0476396083831787
HHO,1,30,500,15030,61,34632876.50809276,1.0644214153289795
HHO,1,30,500,15030,62,24060505.516812745,1.0513083934783936
HHO,1,30,500,15030,63,43836733.891149536,1.0678822994232178
HHO,1,30,500,15030,64,42023449.93983252,1.0837318897247314
HHO,1,30,500,15030,65,39468579.342717424,1.0495409965515137
HHO,1,30,500,15030,66,38972381.11467385,1.0736448764801025
HHO,1,30,500,15030,67,35497938.73080493,1.066725492477417
HHO,1,30,500,15030,68,41188435.40239373,1.082820177078247
HHO,1,30,500,15030,69,38083960.97261323,1.0707180500030518
HHO,1,30,500,15030,70,39090819.04148733,1.0845353603363037
HHO,1,30,500,15030,71,61889325.03122757,1.0582268238067627
MPA,1,30,500,15030,42,49265668828.45963,0.6455156803131104
MPA,1,30,500,15030,43,33742628449.28706,0.6379415988922119
MPA,1,30,500,15030,44,44804914115.88305,0.6042766571044922
MPA,1,30,500,15030,45,50034555408.73366,0.5961434841156006
MPA,1,30,500,15030,46,43068995649.77079,0.6110482215881348
MPA,1,30,500,15030,47,40633571321.45705,0.6121394634246826
MPA,1,30,500,15030,48,42402495912.401474,0.5971579551696777
MPA,1,30,500,15030,49,45534344297.35037,0.5970892906188965
MPA,1,30,500,15030,50,48295814439.09294,0.6014077663421631
MPA,1,30,500,15030,51,34465826089.63364,0.5958819389343262
MPA,1,30,500,15030,52,50745279378.16653,0.613088846206665
MPA,1,30,500,15030,53,45682036717.11625,0.6182355880737305
MPA,1,30,500,15030,54,41370547830.22903,0.6194899082183838
MPA,1,30,500,15030,55,41128366865.67426,0.61167311668396
MPA,1,30,500,15030,56,42426431123.85578,0.618372917175293
MPA,1,30,500,15030,57,39396771006.71879,0.6164226531982422
MPA,1,30,500,15030,58,36246247312.80871,0.6091892719268799
MPA,1,30,500,15030,59,41181355724.79411,0.6081752777099609
MPA,1,30,500,15030,60,35529320581.205315,0.6054251194000244
MPA,1,30,500,15030,61,36638476214.06064,0.5982911586761475
MPA,1,30,500,15030,62,39375684610.21905,0.6027786731719971
MPA,1,30,500,15030,63,49598712949.90152,0.5996832847595215
MPA,1,30,500,15030,64,39231010627.839516,0.6118237972259521
MPA,1,30,500,15030,65,42884694177.95719,0.5985419750213623
MPA,1,30,500,15030,66,31269115713.693867,0.6030921936035156
MPA,1,30,500,15030,67,43625218924.90949,0.6024641990661621
MPA,1,30,500,15030,68,41407588310.262054,0.6328291893005371
MPA,1,30,500,15030,69,43944811105.38129,0.6484525203704834
MPA,1,30,500,15030,70,42991241199.11406,0.6569757461547852
MPA,1,30,500,15030,71,31933902474.595104,0.6185617446899414
BFO,1,30,500,15030,42,2290594.070853734,0.7853825092315674
BFO,1,30,500,15030,43,3693067.331070616,0.8208096027374268
BFO,1,30,500,15030,44,891985.2735673133,0.7553009986877441
BFO,1,30,500,15030,45,2281295.5806501904,0.783916711807251
BFO,1,30,500,15030,46,1585873.7275236482,0.8219611644744873
BFO,1,30,500,15030,47,913226.6137465581,0.7617237567901611
BFO,1,30,500,15030,48,4192960.8475139793,0.8566696643829346
BFO,1,30,500,15030,49,1134612.2162638248,0.7972776889801025
BFO,1,30,500,15030,50,1466975.745937593,0.8394873142242432
BFO,1,30,500,15030,51,2530168.007675218,0.7871220111846924
BFO,1,30,500,15030,52,2270731.7801856436,0.8398444652557373
BFO,1,30,500,15030,53,904179.9638328512,0.783513069152832
BFO,1,30,500,15030,54,2691590.554154592,0.7862646579742432
BFO,1,30,500,15030,55,1310098.825440789,0.7717232704162598
BFO,1,30,500,15030,56,671342.6484300749,0.7114696502685547
BFO,1,30,500,15030,57,910330.5102602419,0.7856440544128418
BFO,1,30,500,15030,58,2130910.6774561247,0.6888179779052734
BFO,1,30,500,15030,59,2800982.529915636,0.6624820232391357
BFO,1,30,500,15030,60,1897532.4492686135,0.8345377445220947
BFO,1,30,500,15030,61,844686.7600609544,0.6337957382202148
BFO,1,30,500,15030,62,309888.3651083486,0.9091346263885498
BFO,1,30,500,15030,63,4688757.344160236,0.9435994625091553
BFO,1,30,500,15030,64,1223486.850639908,0.8704686164855957
BFO,1,30,500,15030,65,1948045.3372763947,0.7638669013977051
BFO,1,30,500,15030,66,4192822.405113417,0.9561026096343994
BFO,1,30,500,15030,67,686966.8694597579,0.8409461975097656
BFO,1,30,500,15030,68,3118368.646018577,0.9723000526428223
BFO,1,30,500,15030,69,1434426.1321969917,0.7597379684448242
BFO,1,30,500,15030,70,1133801.930391752,0.8053760528564453
BFO,1,30,500,15030,71,1478097.3209889473,0.9080803394317627
QBSO,1,30,500,15030,42,3555485.7545691715,0.6245532035827637
QBSO,1,30,500,15030,43,4610300.717319957,0.639488697052002
QBSO,1,30,500,15030,44,7404689.097176164,0.6198723316192627
QBSO,1,30,500,15030,45,5313523.578456066,0.7317361831665039
QBSO,1,30,500,15030,46,18780060.699357532,0.5949187278747559
QBSO,1,30,500,15030,47,3158201.3869836763,0.6246023178100586
QBSO,1,30,500,15030,48,5453283.343853569,0.5895955562591553
QBSO,1,30,500,15030,49,3838075.145939856,0.5890474319458008
QBSO,1,30,500,15030,50,4188364.2424410796,0.5908176898956299
QBSO,1,30,500,15030,51,3782959.8057608292,0.6020674705505371
QBSO,1,30,500,15030,52,3733318.7100943336,0.6043305397033691
QBSO,1,30,500,15030,53,1763938.534439047,0.6079959869384766
QBSO,1,30,500,15030,54,3326299.7745725643,0.5940635204315186
QBSO,1,30,500,15030,55,3796954.8303970564,0.588773250579834
QBSO,1,30,500,15030,56,1567185.2039494233,0.5862307548522949
QBSO,1,30,500,15030,57,3052744.197386326,0.5930852890014648
QBSO,1,30,500,15030,58,2043792.7140008616,0.592756986618042
QBSO,1,30,500,15030,59,3561340.9900963926,0.5899813175201416
QBSO,1,30,500,15030,60,3170734.101730154,0.5868127346038818
QBSO,1,30,500,15030,61,6924945.7289588405,0.5953652858734131
QBSO,1,30,500,15030,62,2447010.583767913,0.6165664196014404
QBSO,1,30,500,15030,63,16477024.44205059,0.609351634979248
QBSO,1,30,500,15030,64,3893841.385661496,0.6082775592803955
QBSO,1,30,500,15030,65,4812207.3214137675,0.6057741641998291
QBSO,1,30,500,15030,66,2179831.3006222825,0.5971119403839111
QBSO,1,30,500,15030,67,629590.6118482393,0.6021623611450195
QBSO,1,30,500,15030,68,798978.4587107452,0.5974562168121338
QBSO,1,30,500,15030,69,5233554.418211508,0.5910675525665283
QBSO,1,30,500,15030,70,3289020.5841455716,0.606928825378418
